1	4.86e-7	4.86e-6	4.86e-5	4.86e-4	4.86e-3	
5	3.89e-9	3.89e-8	3.89e-7	3.89e-6	3.89e-5	
10	4.86e-10	4.86e-9	4.86e-8	4.86e-7	4.86e-6
15	1.44e-10	1.44e-9	1.44e-8	1.44e-7	1.44e-6
50	3.89e-12	3.89e-11	3.89e-10	3.89e-9	3.89e-8
100	4.86e-13	4.86e-12	4.86e-11	4.86e-10	4.86e-9
150	1.44e-13	1.44e-12	1.44e-11	1.44e-10	1.44e-9
200	6.07e-14	6.07e-13	6.07e-12	6.07e-11	6.07e-10
