#Catalogue of objects FSRQ of the list of icecube
#
#name of source	RA	Dec
4C38.41	248.82	38.14
3C454.3	343.50	16.15
PKS0528+134	82.74	13.53
PKS1502+106	226.10	10.52
3C273	187.28	2.05
3C279	194.05	-5.79
HESSJ1837-069	279.41	-6.95
QSO2022-077	306.42	-7.64
PKS1406-076	212.24	-7.87
PKS0727-11	112.58	-11.7
QSO1730-130	263.26	-13.08
PKS0454-234	74.27	-23.43
PKS1622-297	246.53	-29.86
PKS1454-354	224.36	-35.65
